topic_en,topic,idx,q,a,context,datatype,attitude,group,split
gender,性别,7980,女同性恋如何做到 30 岁以后的生活不可悲？,我觉得自己不可悲，虽然别人这么觉得。,1,2,1,同性恋,train
gender,性别,7039,为什么被称“贤惠”会很气愤？,小时候觉得“贤惠”这词很温婉，很美好。,0,2,1,反感贤惠,train
gender,性别,7063,为什么被称“贤惠”会很气愤？,我能说我真的很佩服那些贤惠的女人吗？,0,2,1,反感贤惠,train
gender,性别,7307,为什么被称“贤惠”会很气愤？,我老公说我觉得挺开心。,1,2,1,反感贤惠,train
gender,性别,10637,想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？,她在家劳动，我在公司劳动，我们俩共同撑起这个家。,1,2,1,家庭主妇,train
gender,性别,6986,为什么有些女生会反感「贤惠」这个词？,完全没有的，我女朋友就很贤惠，贤惠是只有有耐心细心传统善良等等优点聚于一身的。,0,2,1,反感贤惠,train
gender,性别,9312,关于软件测试工程师所应该具备的能力，就业前景还有适合女生从事吗？,作为一个准大三计算机专业的女生，学测试非常适合！,1,1,1,女性职业,train
gender,性别,7138,为什么被称“贤惠”会很气愤？,咦，我怎么觉得贤惠这个词很好，一种雍容大气，通达聪慧，温柔娴雅，明快阳光的形象。,0,2,1,反感贤惠,train
gender,性别,10481,想知道以男性视角，家里有位全职太太（家庭主妇）是种什么感受？,我一直想当一个家庭主妇，就是因为我喜欢我的家庭关系。,0,1,1,家庭主妇,train
gender,性别,9863,为什么有的人（比如部分 PhD 等高学历者）会对家庭主妇有不屑的情绪？,家庭主妇也是一个专业性很强的职业。,0,1,1,家庭主妇,train
gender,性别,7161,为什么被称“贤惠”会很气愤？,我就很贤惠。 一旦选定一个人，就不惮付出牺牲奉献，不计得失，全情投入。,1,2,1,反感贤惠,train
gender,性别,7386,如何看待女生不满「男生喜欢温柔贤惠一点的暖妹子」？,这没什么啊。 因为贤惠确实是褒义词。,0,2,1,反感贤惠,train
race,种族文化,22066,为什么黑人的外貌不符合大部分中国人的审美？,如果多看看《星际迷航》，那么你就会觉得黑人其实还是看着挺顺眼的。,1,1,1,黑人,train
race,种族文化,22093,为什么黑人的外貌不符合大部分中国人的审美？,其实我觉得佳人蓓尔的女主挺好看的,1,2,1,黑人,train
race,种族文化,19640,你们觉得亚裔在美国是处在种族歧视中的最底层吗？,都在瞎扯哦，亚裔尤其是华人什么时候地位低过。,0,1,1,种族歧视,train
race,种族文化,17864,日本人是怎么看待中国人的？,中年往上，有一定层次的日本人中，有不少人因为工作或者当时中日蜜月期等各种原因，对中国是抱有兴趣和较深的理解。,0,2,1,日本人,train
race,少数民族,6023,有一个蒙古族男朋友是什么体验？,谢邀～。 我男朋友（很快变成先生）是蒙古族，他气质沉稳，又有一些书卷气，虽看起来严肃但对我很温柔，甚至到搞笑。,1,1,1,蒙古族人,train
race,种族文化,17492,为什么都说日本社会很压抑？变态多是真的吗？日本人好相处吗？日本人都很排外吗？,我觉得不是这样，我去日本旅游时，对日本印象非常好。,0,1,1,日本人,train
race,种族文化,22212,为什么黑人的外貌不符合大部分中国人的审美？,来美国看多之后越看越顺眼，感觉有些还是不错的。,1,1,1,黑人,train
race,种族文化,22123,为什么黑人的外貌不符合大部分中国人的审美？,在美国见到的黑人女性平均颜值高于白人女性。,1,1,1,黑人,train
race,种族文化,19542,你们觉得亚裔在美国是处在种族歧视中的最底层吗？,印第安原住民的政治地位和影响是低，甚至可能是最低，但人家部落还真的挺有钱的。,0,2,1,种族歧视,train
race,少数民族,5155,你有被人地域歧视的经历吗？,我时常被“反地域歧视…,1,1,1,壮族人,train
race,种族文化,17438,为什么都说日本社会很压抑？变态多是真的吗？日本人好相处吗？日本人都很排外吗？,念书的时候认识几个日本人，大部分都觉得很礼貌，那种职业化的礼貌，感觉即使他内心非常讨厌你但面上还是会微笑。,0,1,1,日本人,train
race,种族文化,20998,白人女性是不是很美，为什么?,不邀自来。 我只觉得东亚女性美，颜值世界第一。,1,1,1,肤色,train
race,种族文化,23427,日韩人民是否歧视黑人或有偏见？,不用提日韩。 哪怕是在中国。,1,1,1,黑人,train
race,种族文化,15655,在歧视亚裔或华人问题上，是欧洲严重还是美国严重，各有什么特点？,德国留学，地点在前西德地区，从来没有碰到过歧视，反而是对我这个华人非常好，非常感兴趣，很多事情都特别照顾我。,1,2,1,亚裔歧视,train
race,种族文化,19718,你们觉得亚裔在美国是处在种族歧视中的最底层吗？,没感觉，我觉得美国人都很好讲话，彬彬有礼，当然人家心里怎么想我不知道，但表面上是真让人舒服。,1,1,1,美国人/种族歧视,train
race,种族文化,17226,为什么印度人在硅谷如日中天，华人却很难混入高层？,一部分原因是：情商高，会管理，会发言这些软实力在我们这一代的文化里比较不被看重吧。,1,2,1,印度人,train
race,种族文化,20136,中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?,中国人喜欢白与自信心无关。,1,2,1,肤色,train
race,种族文化,20137,中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?,↓古人就喜欢涂脂抹粉，什么叫民族不自信？,1,2,1,肤色,train
race,种族文化,20995,白人女性是不是很美，为什么?,其实从某种意义上来说，全世界女性都很美。,0,1,1,肤色,train
race,种族文化,22131,为什么黑人的外貌不符合大部分中国人的审美？,惠特尼休斯顿长得就挺好看。,1,1,1,黑人,train
race,种族文化,20287,中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?,别什么都扯到民族自信上，中国古代不知道白种人存在的时候也喜欢皮肤白的，那也是民族自信不足吗？,1,2,1,肤色,train
race,种族文化,24140,美国只有「黑命贵」，没有「印第安命贵」吗？为什么？,才不是好吗？ 印第安人才是命最贵的。,1,1,1,黑人,train
race,种族文化,19876,现今中国人的种族歧视严重吗？,不严重。 甚至可以说几乎没有种族歧视。,1,2,1,种族歧视,train
race,种族文化,20151,中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?,这个你就放心吧，不是不自信。,1,1,1,肤色,train
race,种族文化,17224,为什么印度人在硅谷如日中天，华人却很难混入高层？,华人中有相当一部分，有这个能力以及抱负的人。,0,1,1,印度人/华人,train
race,少数民族,6078,蒙古国女人好看吗？,审美因人而异，我也觉得蒙古国女人挺好看的，美女很多，可能我也比较喜欢这种长相吧，蒙古女人最有特点的其实是颧骨。,0,1,1,蒙古族人,train
race,种族文化,17555,为什么都说日本社会很压抑？变态多是真的吗？日本人好相处吗？日本人都很排外吗？,目前工作的地方，年轻男生比较多，感觉都还蛮开朗的。,1,1,1,日本人,train
race,种族文化,21511,为什么国人普遍接受不了中国女孩和非洲男孩在一起?,不不不，国人普遍接受。,1,2,1,黑人,train
race,种族文化,17618,你身边的日本朋友都是怎样的人？,小编在美国留学有两个日本女性朋友，一个是基督徒，人非常nice可爱，喜欢Kpop文化；另一个女孩也很热情活泼。,1,1,1,日本人,train
race,种族文化,18010,日本人是怎么看待中国人的？,我语言学校的老师甲不止一次问我们为什么我们整天说中国是发展中国家，他觉得中国已经算发达国家了。,1,1,1,日本人,train
race,种族文化,17774,南京人怎么看待日本以及日本人？,很温暖的一个视频，历史不能忘却，但包容与友善才让这个世界更加美好，视频里的日本妈妈很可爱，很真实。,0,1,1,日本人,train
race,种族文化,20304,中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?,因为中国人本来就白啊，你以为欧美鬼佬叫我们黄种人我们就真是黄种人呢。,1,2,1,肤色,train
race,种族文化,17836,日本人是怎么看待中国人的？,据我观察，日本人是相当自信的！,0,1,1,日本人,train
race,种族文化,22180,为什么黑人的外貌不符合大部分中国人的审美？,我倒是觉得他们的长相都挺精致的，黑黑的皮肤，精致的面容五官。,1,1,1,黑人,train
race,种族文化,23574,现今中国人的种族歧视严重吗？,一点都不。 中国人并没有真正意义上的种族歧视。,0,2,1,黑人,train
race,种族文化,20121,中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?,中国人喜欢的白，指的是皮肤光滑发亮的那种白。,0,2,1,肤色,train
race,种族文化,19678,你们觉得亚裔在美国是处在种族歧视中的最底层吗？,完全不是。 亚裔只是不喜欢发声而已。,1,2,1,种族歧视,train
race,种族文化,22202,为什么黑人的外貌不符合大部分中国人的审美？,事实上，我个人觉得黑人别具魅力，在审美范围之内啊。,0,1,1,黑人,train
race,种族文化,21137,为什么中国有这么多人厌恶韩国人？,我男朋友和他韩国老师这几年一直都和睦相处，相安无事。,0,1,1,韩国,train
race,种族文化,18975,为什么一些人觉得白人比黑人好看？这种审美观的形成与潜在种族歧视有关吗？,我一个非洲女性好友觉得美国的黑人男人比非洲男人帅多了。,0,1,1,种族歧视/黑人,train
race,少数民族,5852,作为一名蒙古族，不会说蒙语是什么感受？,我自己和身边的蒙古族朋友百分之八十都是听说读写都会的。,1,2,1,蒙古族人,train
race,少数民族,5463,和壮族人交流有哪些忌讳？,没啥忌讳，我们壮族人很是热情好客。,0,1,1,壮族人,train
race,种族文化,21147,为什么中国有这么多人厌恶韩国人？,1. 目前厌恶韩国的中国人还不算特别多。,0,1,1,韩国,train
race,种族文化,20851,如何看待外国人因中国人以白为美而认为中国种族歧视？,中国人自己都很少把美白和种族联系上，只是单纯的觉得好看而已。,1,2,1,肤色,train
race,种族文化,18208,日本人知道自己被称为「日本鬼子」「鬼子」「小日本」吗？,知道。 在日本上学的时候，一个中老年男性老师，我们都认为他非常有意思，因为他喜欢在上厕所的时候和我们说话。,0,1,1,日本人,train
race,种族文化,21269,为什么中国有这么多人厌恶韩国人？,我曾经挺喜欢韩国明星的，因为韩国明星所以也特别喜欢韩国，为此还专门学过韩语。,0,1,1,韩国,train
race,少数民族,5466,和壮族人交流有哪些忌讳？,空手来，满手回。 壮族很好客，很热情，而且汉化严重。,1,2,1,壮族人,train
race,种族文化,16530,如何看待美国两个月报告 503 起仇恨亚裔事件？出现这种情况的原因可能是什么？,这说明美国亚裔的地位提高了。,1,1,1,亚裔歧视,train
race,种族文化,22884,如何看待美国黑人男子在上海商场疯狂辱骂中国人二十多分钟？,小时候有个电视连续剧叫做《嫁到非洲》，里面把黑人描述的勤劳诚实又善良，当时觉得黑人大部分都应该是这样吧。,1,2,1,黑人,train
race,种族文化,23547,现今中国人的种族歧视严重吗？,中国人其实种族歧视并不严重。,1,2,1,黑人,train
race,种族文化,18322,日本人知道自己被称为「日本鬼子」「鬼子」「小日本」吗？,我对日本人的好感大于反感，我所处的家庭父母关系不好，小时候很少有温暖的感觉，自从看了教育电视台放的那部《通向婚纱之路》。,0,1,1,日本人,train
race,种族文化,15617,在歧视亚裔或华人问题上，是欧洲严重还是美国严重，各有什么特点？,我本身生活在德国，在工作中我没有感受到来自同事哪怕是一点点得歧视。,0,2,1,亚裔歧视,train
race,种族文化,21048,白人女性是不是很美，为什么?,是？ 眼睛大、睫毛长，鼻子尖，瓜子脸多，少数鹅蛋脸，脸小头圆。,1,1,1,肤色,train
race,少数民族,5595,我国最文明最先进的民族是白族？,老师当年告诉我们，白族人素质高，教育水平高，然后我们高考不加分，至今无法理解。,1,2,1,白族人,train
race,种族文化,19497,你们觉得亚裔在美国是处在种族歧视中的最底层吗？,感觉没有什么歧视链，也没有什么最底层。,0,2,1,种族歧视,train
race,种族文化,21993,为什么黑人的外貌不符合大部分中国人的审美？,我觉得埃塞俄比亚人不少还蛮漂亮的，可能我是假的中国人吧？,0,1,1,黑人,train
race,种族文化,19900,现今中国人的种族歧视严重吗？,坚决反对中国种族歧视严重这一观点。,1,2,1,种族歧视,train
race,种族文化,17445,为什么都说日本社会很压抑？变态多是真的吗？日本人好相处吗？日本人都很排外吗？,总的说来，日本民族是一个文雅的民族。,1,1,1,日本人,train
race,种族文化,17739,南京人怎么看待日本以及日本人？,日本人怎么了？ 日本人民也有帮助中国抗战。,1,1,1,日本人,train
race,种族文化,15198,亚裔在美国地位这么低，为什么警察致死的案件比黑裔少得多？,亚裔在美国的地位根本不低。,0,2,1,亚裔歧视,train
race,种族文化,21046,白人女性是不是很美，为什么?,白人女孩有特别惊艳的感觉，而中国女孩有温婉含蓄的美。,1,2,1,肤色,train
race,种族文化,19603,你们觉得亚裔在美国是处在种族歧视中的最底层吗？,明显不是，乖孩子虽然容易受欺负，但肯定不是最被看不起的。,1,2,1,种族歧视,train
race,种族文化,20536,为什么肤白会成为美女标准？,①肤白人群中更耀眼，一眼注意到。,0,2,1,肤色,train
race,种族文化,15106,亚裔在美国地位这么低，为什么警察致死的案件比黑裔少得多？,亚裔政治地位低，经济地位可不低啊…,1,2,1,亚裔歧视,train
race,少数民族,5657,维族同胞的体味是遗传的还是后天饮食习惯造成的？,不是? 这个跟民族有什么关系？,1,2,1,维吾尔族人,train
race,种族文化,17598,你身边的日本朋友都是怎样的人？,不好意思，没有，回答不上，不过苍老师人是真的好。,1,1,1,日本人,train
race,种族文化,15123,亚裔在美国地位这么低，为什么警察致死的案件比黑裔少得多？,其实我觉得华人地位不低，只是有些人在和我们说华人低，比黑人低，我不觉得他们比黑人低。,1,2,1,亚裔歧视,train
race,种族文化,21135,为什么中国有这么多人厌恶韩国人？,我没去过韩国的时候，对韩国人印象非常好。,0,1,1,韩国,train
race,少数民族,5090,回族姑娘怎么样？,受限于我有限生活区域和有限的经历，认识的几个回族姑娘，都挺漂亮的…,1,1,1,回族人,train
race,种族文化,20063,现今中国人的种族歧视严重吗？,不严重，我是高素质的人从来不搞歧视的。,0,2,1,种族歧视,train
race,种族文化,22430,如何看待美国教授因说中文「内个」，被称冒犯黑人而遭到停课处分？,实名反对所有回答，我支持美国黑人！,1,1,1,黑人,train
race,种族文化,19840,现今中国人的种族歧视严重吗？,作为一个生活在中国的白人女孩，我不认为中国人对我有种族歧视。,0,2,1,种族歧视,train
race,种族文化,18952,为什么一些人觉得白人比黑人好看？这种审美观的形成与潜在种族歧视有关吗？,那是没见过好看的黑人。,1,1,1,种族歧视,train
race,种族文化,17989,日本人是怎么看待中国人的？,我个人（不代表所有日本人）觉得中国人有一种我非常喜欢的一点就是中国人很有人情味，这个跟日本人很不一样。,0,2,1,日本人,train
race,少数民族,6083,蒙古国女人好看吗？,就是好看！ 长相真的是很好看啦。,1,1,1,蒙古族人,train
race,种族文化,18958,为什么一些人觉得白人比黑人好看？这种审美观的形成与潜在种族歧视有关吗？,前段时间还看见过一个黑人，但是他给我的印象就是超级可爱还想偷拍来着不过没偷拍成，哈哈。,0,1,1,黑人,train
race,少数民族,6115,蒙古族人和汉族人会拥有爱情吗？,真正的爱情是跨越种族跨越年龄跨越一切阻碍的，蒙古人汉族人都是人啊，有的人还跨国联姻呢！,1,2,1,蒙古族人,train
race,少数民族,5675,请问维吾尔族男孩子的性格一般是怎样的呢？,我的学生都是维族，男孩子外向的占多数，情商超高。,0,1,1,维吾尔族人,train
race,种族文化,19099,为什么在中国不会出现明显的种族歧视，而会出现较严重的地域偏见？,中国这么明显的逆向种族歧视无视了是吗？,1,2,1,种族歧视,train
race,种族文化,19602,你们觉得亚裔在美国是处在种族歧视中的最底层吗？,在美国不是，没感受到歧视。,1,1,1,种族歧视,train
race,种族文化,20026,现今中国人的种族歧视严重吗？,我觉得中国人挺包容的，尤其普通老百姓，我觉得蛮善良的。,1,2,1,种族歧视,train
race,种族文化,15156,亚裔在美国地位这么低，为什么警察致死的案件比黑裔少得多？,亚裔在美国的地位并不低吧？,0,2,1,亚裔歧视,train
race,种族文化,17597,你身边的日本朋友都是怎样的人？,日本邻居请我去餐厅吃了顿饭。,1,1,1,日本人,train
race,种族文化,19675,你们觉得亚裔在美国是处在种族歧视中的最底层吗？,美国其实还好，拿我上次的旅游视野看确实还好。,1,2,1,种族歧视,train
race,少数民族,5461,和壮族人交流有哪些忌讳？,从未把认识的壮族人当作另外一个民族去刻意区别，在我眼里，壮族人都是自己人啊。,1,1,1,壮族人,train
race,种族文化,20326,中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?,不是不自信，而是确实好看，当然人脸就算了，我比较喜欢亚洲人脸，外国人脸也就立体点。,1,2,1,肤色,train
race,种族文化,16170,如何看待杨安泽带妻儿外出购物被美国人歧视，发文称「作为亚裔感到羞耻」？,深深赞同很多高赞回答，我不希望我的娃作为亚裔感到羞耻，我希望他作为一个中国人感到自豪！,0,1,1,亚裔歧视,train
race,种族文化,20265,中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?,不是！ 在中国古代，中国人瞧不起所有蛮夷的时代，那时候中国人的民族自信爆满！,1,2,1,肤色,train
race,种族文化,23624,现今中国人的种族歧视严重吗？,以前住的小区附近很多学校，有很多留学生，可以说白人留学生的素质还是比较高的。,0,1,1,黑人/白人,train
race,少数民族,5306,你有被人地域歧视的经历吗？,其实不是歧视啦… 你是哪儿人啊？,1,1,1,壮族人,train
race,少数民族,6111,蒙古族人和汉族人会拥有爱情吗？,开什么玩笑？ 蒙古族和汉族之间的夫妻有爱情的几率，只会比汉族与汉族之间还要大。,1,1,1,蒙古族人,train
race,少数民族,5604,请问你身边的白族人给你的印象怎样？,大学遇到的白族姑娘，快十年了，没忘掉,1,1,1,白族人,train
race,种族文化,19941,现今中国人的种族歧视严重吗？,我觉得不严重啊，你看巴基斯坦人在中国都能找到妹子,0,2,1,种族歧视,train
race,种族文化,15864,如何看待一些华裔外国人认为自己只是亚裔而不是华裔？,很好啊，如果这些人原本就不是完全的中国人那么他们不要认“中国人”这个身份就是很好啊。,0,2,1,亚裔歧视,train
race,少数民族,5114,回族姑娘怎么样？,只是以前上初三的时候有一个女同学是回族的，人长的特别漂亮特别白，眼睛特别大，眼睫毛长的不得了，学习也特别好，人很乐观。,0,1,1,回族人,train
race,种族文化,19910,现今中国人的种族歧视严重吗？,不严重。 我们国家自古是一个多民族国家，发展至今，民族融合度已经非常好。,1,2,1,种族歧视,train
race,种族文化,21191,为什么中国有这么多人厌恶韩国人？,我不得不赞赏我们的台湾同胞在这方面比我们做得更好，也更加正确和有力。,0,1,1,韩国,train
race,种族文化,18345,日本人知道自己被称为「日本鬼子」「鬼子」「小日本」吗？,我跟我朋友去日本旅游中认识的一位日本司机，他几乎陪伴了我们整个旅途，司机师傅为人尽心尽责。,0,1,1,日本人,train
race,种族文化,20135,中国人喜欢白皮肤是否是民族自信不足的表现（骂之前建议看看问题阐述）?,这个真不是。 读书的时候看到罗敷夸奖她的老公，为人洁白皙，鬑鬑颇有须，印象深刻。,0,2,1,肤色,train
race,种族文化,19866,现今中国人的种族歧视严重吗？,基本没有，除了对黑人白人少见多怪。,0,2,1,种族歧视,train
