Question	Potentially_Pejorative
哟，台湾来的1450？？哥们输入法都忘记换了。你说你也真是，天天来“言论不自由”的地方跟我们吵架，吵半天，你也是一个月一万多点新台币。就挣这么点钱，你还这么卖命，图什么呢？升迁？可能嘛？听我的，混混就完事了。	Potentially
四五千块钱能解决的事，三万+每年资料费水电费一两千，将近十倍的价格，还不让人说天价？ 您家里有钱，河北人均两万五，您一年挣二百五十万，您天天吃三十块钱一斤的面粉大米和五百块钱一斤的猪肉，平价商品都入不了您的法眼	Potentially
在上海学校里都是贴的不让说上海话，你说为什么？很多本地的小孩子都不会上海话了，更别提影响。别人家说本地话是热爱自己家的文化，上海人说本地话就是排外，总是能从各种地方说上海的不好，到底我们上海哪里惹你们了？	Potentially
在美国工作的表示在意，很在意，你的口音有时候直接决定了你能不能拿到offer。答主说的表达清楚，这个清楚其实从某种角度就是要求没有很重的外国口音了。比如答主会觉得印度人说英语清楚吗？不会。 英国更是你的口音直接决定了你的社会阶层。	Potentially
奇怪了，黑人问题在我国又不是历史遗留问题，为什么五毛党还要收美爹的钱，说中国人歧视黑人？[捂脸][捂脸]再说了，除了媚外女，也没有正常女人会跟黑人在一起吧，学校读研的一学妹，也跟我说过黑人体味大，不想跟他们坐同一个电梯，	Potentially
对，我就是特别讨厌广东人的那种莫名其妙的优越感，大学有一段时间三个室友都讲粤语，特别恶心人，还当着面讲坏话，以为听不懂，还老是讲什么古汉语就是粤语啦差一票啦这些瞎编的鬼话？这就是我反感粤语的原因	Potentially
就你这种没逻辑，光会动嘴皮子的爱国有毛用啊，除了会骂人会喷还有什么能力？上海不比你京津冀差吧，多少日本料理被砸？就你还谈素质？你看不到就不存在了？ 也别回复了，继续活在你自以为是爱国的yy里。	Potentially
平均相貌知乎就有谢谢，东南亚人是高颧骨但岭南人不是，华东人同样也是低颧骨，但华北人是高颧骨，您在这觉得华北人是汉人主体还是华东人是汉人主体？北方蒙古、鲜卑带来的高颧骨被你扣到岭南人身上且不论，被外族血统入侵过的华北你拿来当汉人正统岂不可笑？	Potentially
很正常的。非裔的确受到巨大苦难和压迫，南美也是。但是看看亚裔。大部分是利己主义。近一点的去韩日，远一点的去欧美。这种跑到别人地方去摘果子的到哪里都不受欢迎。还记得那个微博千万粉和志林齐名的网红吗?	Potentially
您在知乎上问这个问题，显然是得不到真实的答案的。就像这个问题下大部分回答都是支持学方言的一样。那些看不起外地人的上海人他们会上知乎来回答您吗？就算有一位上海人过来告诉您他不会因为口音问题看不起苏北人，就能证明我之前说的都是谎言，都是不存在的事情吗？	Potentially
我也是不懂你的脑回路 爱因斯坦种族歧视中国 你还要找中国人也种族歧视黑人来给他开脱？ 结合现在名人有污点就一棒打死的风潮，我看一棒打死爱因斯坦也可以，反正他已经死了，但歧视中国的言论却一直在世界上散播着	Potentially
我们出国留学有这种待遇吗？凭什么把超国民待遇给非洲人？非洲是人类文明的发源地，可非洲人干成过什么事？中国人搞出了四大发明，欧洲人发现了新大陆，非洲人学会了上树摘果子吃？ 我就是看不起黑人，民族主义无罪	Potentially
我们宿舍一个抽烟的河南人被我我和另一个舍友一起赶出去了，那个河南人还在那装逼：我抽烟你能把我怎的？说句不好听的，穷山恶水出xx，我不喜欢地域黑，不喜欢开地图炮，但是有些老鼠屎就是喜欢给自己地方的人招黑，那我也没办法是吧	Potentially
我刚开始看到她们说什么反对，我是不反感的，但是后面文案变得越来越多，那些莫名其妙的，上来就直接骂黑人的，我就疑惑了，哪群黑人说要娶你们这群跟风鬼啊？？？还有什么说什么会保护中国女孩的，就冲你这智商，保护个大头鬼哦	Potentially
我又不是台湾人，我自卑个毛线。我建议小编在写文章的时候谨慎一点，尽量别用略带歧义或者歧视的称呼，怎么你就接受不了了？说实话，你爱怎么称呼别人跟我一点关系都没有。你爱叫大陆妹就叫大陆妹，你爱叫台妹就叫台妹，你对着黑人叫尼格跟我都没关系。	Potentially
我回你三条，你回我六条，谁激动自己去想。这男生家再有钱还能有钱过海底捞？再会带节奏赶得上海底捞专业团队？那海底捞洗白杂效果不如这个男孩好呢？能甘愿当八年备胎的偏执狂，突然脑子已转杀人，你不信不要紧 反正有的是人信了。	Potentially
我当时在B 站里被推荐到这个视频时，说真的，我被恶心到了。你说人家越南人印度人盲目乐观也就罢了，你说你一个中国人还专门做一个视频说越南未来可期，是不是在越南有好多房产没法转手，想在网上忽悠几个接盘侠去接越南房地产的盘？	Potentially
我觉得其实人美国歧视黑人是有道理的，假如你身边有个惯偷，你丢东西是不是第一就想到他？黑人那么懒，犯罪率那么高，你说警察能对黑人友好么，换谁谁不讨厌黑人啊。别说美国人了，有个黑人要租我的房子，	Potentially
无产阶级还是什么样？我们和黑人都是无产阶级，无产阶级并不高尚也不低贱。它只是一个阶级统称，你有资产，你无论很么样的人都是资产阶级。你没有你就是无产。在清朝，外国人是怎么形容中国人的？小偷没有诚信，懒，吸大烟等等。	Potentially
是不是只要我承认我没有受过高等教育，我没有素质就能为所欲为了？ 要是这么说，我还能说歧视黑人的白人一大部分是没有受过高等教育，没有素质的白人小混混，所以black lives matter就是黑人自卑，应该反思，你觉得如何呀	Potentially
是你们男的对善良，随和，脚踏实地有误解吧？我相亲过一个对象，口口声声说自己善良温和，吃饭的时候隔壁桌小女孩父母不在找我们说话，他一副厌恶得要死的样子，女孩走后还给我来句最讨厌小孩了，我内心黑人问号，这叫善良随和？？？	Potentially
是真的，我觉得这个没什么好玻璃心的，为什么同样是穷，屎盆子都往河南身上扣，而普遍都觉得四川人肯做，吃苦。是有原因的。都是邻居省份，怎么没人说河北？ 河南人要自己去总结，不要一下子又说地域黑	Potentially
有一个外省的同学，到这边来上学，就跟人学会了这些词，一次见了我，我很热情跟他打招呼，结果他上来就是一句，哈麻批！我？？？？？？真的觉得很恶心，可能他自己觉得这就是打招呼的方式，但是作为一个四川人来说，这些话真的很脏！	Potentially
服了，还有人在不同种族间谈大环境，智商不在线啊老哥。按你的说法，数个世纪前受到白人主导的世界歧视的黑人印第安人都是没能力？白人不喜欢的种族都是没能力？受打压都是活该？这不是社会达尔文吗？这种连你白爹都不喜欢不敢承认的东西在你这儿就正常了？不孝啊	Potentially
河南养一所211也是和人家一样的水平。还有只有一所211的省也不少，遭遇比河南差的也不少，从来只见河南人抱怨，是因为你们比较能叫？我不歧视河南人。 这是谁说的话？这会又不承认了？自己不发声怪别人发声？	Potentially
真特么窝火，我们外来人员在北京就这待遇，首都人民就这素质，咱先不谈论谁的过错，就打人这块司机真做的太过了，打了就打了，都打不还手了还不饶人。要是换作我 我特么歇烂你，草。北京人是人我们外来人就不是人了？这视频看的真尼玛窝火。	Potentially
真的，男权癌特别会树立假想敌，又或者是他们其实就是找个理由来喷一下。只要涉及到女性利益的东西，就要有人要说女权癌怎么还不来，田园女权马上到达战场什么的。人还没来，就先喷一下，显得自己技高一筹？中国的男人真的被五千年男权教育费得太幼稚可笑了	Potentially
社会评价等同于什么？我是在说你拿什么社会评价压人纯属荒诞至极啊。这个东西显然就不具有什么合理性。不强制人家看不惯？白人也看不惯黑人，欧美人也看不惯华人，是不是都是他们的权利了？日本人喊你支那猪也没必要强制人家看不惯咯？歧视有什么可洗地的？	Potentially
第一，你怎么知到詹姆斯这些美国精英权贵大批参与进来就不是别有用心呢？就不是借着黑命贵这个轰轰烈烈的运动来谋夺利益？还是你认为资本家是好人，愿意为了爱与正义奉献自己？第二，关于有些人眼里只有阶级，	Potentially
终于说到点子上了，真说黄女受不受欢迎，看金字塔的外国人不就知道了吗？底层根本是来者不拒，上层就反过来了，是女的舔上去了，结果功名成就的黑人足球明星，NBA黑人，好莱坞明星，都是找白人美女去的。	Potentially
美国警察上个世纪吊死黑人，和白人一起对黑人富人区进攻抢劫屠杀，这个世纪把黑人被吊死判定为自杀，枪杀黑人儿童，压喉黑人青年，各种直接当场击毙黑人，还要觉得美国警察没问题？黑人为什么犯罪率高，很简单啊，	Potentially
言论自由可不包括“侮辱别人的自由”，这个视频显然是在侮辱。如果有个反河南人宣传片，列举河南人偷井盖的种种案例，是不是歧视河南人？我做一个反黑人宣传片，是不是歧视黑人？结果到了同性恋身上，就可以肆意侮辱，然后美其名曰言论自由。很强。	Potentially
这叫性别歧视？资本家只关注谁能带来更多利益，女人最多可以当男人用，而男人可以当畜牲用，既然如此，为什呢不招男人，你居然能把资本问题理解为性别歧视，我还说为什么工地全都是男人，是在歧视女性呢，为什么不让你人去工地呢，	Potentially
那为什么黑人这么贫穷呢？还不式因为人种智商低下？黑人也就只能打打球唱唱歌，让搞研究不行的，智商太差。华人劳工几十上百年前不也穷的要死，还受歧视，比黑人素美国晚得多，华人穷吗？人均收入高于白人	Potentially
黄种人的确身材体力相对较差啊。黑人皮肤那样、黄种人尤其越靠近热带的越矮小、北方人高北欧人高. 白人面部轮廓更立体有棱角......为什么非要强行讲虚伪的政治正确（大家都一样，不要歧视分类啦）承认现实别假装眼瞎不好吗？	Potentially
黑人犯罪率高所以被歧视，你觉得没有问题。 专科被歧视，跟学位服有什么关系？ 你把所有的错误都归到专科这个身份上， 专科没学位证不应该穿学士服怎么就成了歧视？ 没有驾照的黑人驾驶机动车被抓算歧视吗？	Potentially
黑人被歧视没有怪罪非洲老家的国家如何落后 只是团结一心上街游行来争取平权 争取不被歧视 怎么到了这帮香蕉人这里就只会转头怪中国呢？ 我觉得楼主说的一点没错 自己窝里斗不适应美国国情不团结呐喊争取小团体利益 反而觉得是被中国拖累 这帮人死不足惜	Potentially
？虽然我不是东北人，但我真的忍不住想问一句，这和东北有啥关系啊？说着这人这事，突然就讲到地名，我知道你说这个没有地域黑和隐含“东北人就是如此”这样的意思，也许只是随口一提，不过我觉得本身讨论的时候哪怕只是说到地名，这就已经带有一种倾向了	Potentially
"""去过香港。。你们能想象吗，刚通关，刚上去旺角的地铁刚坐下，就被一香港婆鄙视+排斥了。。就因为我背着书包转过去跟同学说话的时候擦着她了。。。特么简直无语了，香港那人傲慢的，歧视\""""北妹\""""的本地人到底是拿着什么资本在歧视排斥大陆？？"""	Potentially
一:对新疆少数民族的歧视早就有了 不是这十几年才出现的 二:谁砍人？谁放火？谁住店考学？你的省份一个人犯罪全省人背锅？你省没有罪犯？ 三:我是不是汉族我自己清楚，你信不信是你自己的事情，我就算晒出身份证来你也一样能说不是我的	Potentially
一个戾气满满的人在网上找存在感，现在又装佛系，你是个什么样的人自己没点逼数吗？想挑动别人生气，但是你未免太把自己当回事了，打个哈哈就是心态好了？东北人素质被你这种人拉低了一大截。看你回复的时间都是半夜三更，真不怕猝死吗？	Potentially
一边打着旗号，一边打压亚裔，鱼和熊掌真想都拿？表里不一被拿出来，被骂也活该。在自身没犯错情况下，被人歧视，难道还需要去反思自身不是黑？别犯傻了，做错了就的挨着，无论是哪个国家，哪个学校，只要有歧视，就的骂，洗什么白	Potentially
不应该拿到大庭广众之下，自家的一亩三分地，，，，我想问问北京体育卫视不算是大庭广众之下吗？如果他的解说风格一向如此，不知道各位北京球迷如何听的下去。这种毫无遮拦素质低下的解说拿马扎坐在我家楼下胡咧咧我都听了恶心	Potentially
亚裔和非洲裔遭受的歧视相比简直太轻了。你要知道黑人在上世纪80年代很多人还没有资格进入学校上学，亚裔有被这样对待吗？？你要知道黑人在上世纪60年代公交车上都要强行给白人让座，而且是法律规定的，	Potentially
以前十五岁去北海旅游，出租车司机问我跟我妹是哪里人，我们说河南人，然后他就说你们河南人都是骗子巴拉巴拉的，exm？我们骗你了吗？ 然后拉着我们绕了一大圈才回到宾馆，呵呵，你们北海人还真实在。	Potentially
你是天真呢还是太过天真呢？有没有听说过反客为主的典故？某些瑞典人到了广西，除了搞传销，把广西人的宽容大度不排外当做傻在，还想后来居上，也就是全面的吧原本是当地的人甚至是风俗习惯文化等等全部压倒。	Potentially
你没有说她是正确的，那之前说的她做的挺好、没有需要道歉和辩解的地方.. 是谁说的？说白了，无论男女，还是别的群体，攻击一整个群体就不太恰当。就比如在这场合，说了河南人都爱偷井盖，你还不允许河南人不开心？感觉冒犯？感觉冒犯就是对号入座爱偷井盖的？	Potentially
你这完全是偷换概念，如果人的家园毁灭了，去一个只有狗的地方，人会考虑狗的感受吗？就连白人刚去美洲的时候都奴役了黑人那么多年，黑人强大了才反抗成功，同种族之间尚且如此，何况我们在汽车上眼中不就是缩小的蝼蚁？	Potentially
其实大家连方向都搞错了，为什么要去调查黑人在中国怎么样？来找出讨厌黑人的理由？他脚下踩的土地是中国人民共和国的土地，我讨厌你需要理由？我不喜欢你来需要理由？就像我自己家让谁进屋不让谁进屋，	Potentially
别在意!说明我们河南人还有进步空间，还有自省的机会，而“歧视”一般都是对方尚未成熟的包容心，河南人，要好好给自己撑脸面，给河南人长志气，因为你的努力进步和别人对你的态度没有直接关系，因为嫌弃所以远离，因为嫌弃，我们奋起直追，知耻而后勇不是吗？	Potentially
古代那是为了信仰而做的。啥叫无聊事？那是因为你活在21世纪盛行无神论的中国，无法理解而已。 古代这么搞可是有信仰做支撑的。信仰能让人干出很多不可思议的事情。譬如能让绿教的人前赴后继开自爆车，能让印度人心甘情愿做贱民而不去反抗	Potentially
呵呵，一开始看答案真的觉得这人不错很真实，没有诋毁过你什么，但是你说河南偷井盖什么意思？地域黑真恶心，嗯不骂人但还是要说一句，你真辣鸡，为我早上还特意看了你写的回答感到恶心 哦补充一句地域黑的败类渣渣们，祝你们原地爆炸	Potentially
咄咄怪事，暴力抗议打砸抢时候谁把弗洛伊德当英雄了？弗洛伊德被压死时候口鼻流涕哀声求饶，像英雄么？看似正确却实际上是顾左右而言他。底层黑人为什么这次愤怒的这么猛烈，不就是因为求饶都不管用了么？	Potentially
好家伙 外地人直接成黑人了 ？尊贵的上海白人这是受了多大的委屈？ 真要这样 贴吧上海吧的人不得全被起诉种族歧视？ 外地人也没叫上海本地人不说上海话吧？但是，起码的交流要求说都能听得懂得普通话有什么问题呢	Potentially
对对对，不是你们干的，是我们汉人干的。那我想收新疆等一些边疆地区在那个时代也都是我们汉人自己的功绩，跟你们大清弟国真的没关系啊。一个杀人犯拿刀杀了人，跟警察说，是刀杀的，你们为什么来抓我呢？[好奇][好奇]到底是为什么呢？？！！	Potentially
屁股决定脑袋。善恶那一套道德本就是人类虚构的。对待外星人还要用虚伪的漂亮？怕不是嫌弃死的慢。狼吃羊无关乎善恶。就像片中外星人所为。烧杀抢掠你还要给他提供最好的场所莫非是秀逗了？广州的黑人无恶不作你说什么政治正确不要歧视。大概是因为他没有强奸你的老婆。	Potentially
当今国人确实有“崇白恶黑”之嫌，但你要说种族歧视就过了，中国又没有奴役黑人和种族灭绝的历史，你们白人自己的屎盆子干嘛扣我们头上？你们自己反思就反思，别硬扯着别人跟你一块谢罪，我们又没搞过殖民掠夺，有个屁的民族负罪感。	Potentially
当然是暴力能够取胜，没有国家暴力保护他的权力，他哪儿有什么尊严？早被南方种族主义者打死了，所以这就是个白人弄得洗白电影，事实上当年的情况比电影艰难的多，这都是美化过的虚构故事，跟黑豹一样是用来催眠黑人的东西。	Potentially
恶心的是某晗一边靠貌美人设赚钱一边强调自己是个北京纯爷们:)这不就是当代的当了婊子还立牌坊吗？以及 在鹿晗身上是没办法感受到网络暴力的~因为lwjj都替他把别人揍趴下啦(*ˉ︶ˉ*)大家怕怕的哪还轮得到呀	Potentially
您也算是有一定社会地位，并且受教育程度不低吧？怎么就看不懂一个电影呢？谁不知道黄种人在国外普遍不受待见？电影里说的是中国的国际政治地位，不是说中国人的国际社会地位，如果你是真没搞懂这点，有点假吧？	Potentially
我一个天津人都看不下去了！不能正视自己城市的形象，又不知道改进，提点意见就说人家是蓝印户口，蓝印户口怎么了！花你家钱买房了？有本事也去外地搞个蓝印试试啊！人家瞧不上天津和天津人，难道不是因为没素质的人太多么？这里面包不包括自己都好好想想。	Potentially
我既然提倡弱肉强食，我就不会抱怨别人吃我的时候，我会喊冤枉，他欺压百姓，买卖人口？他是黑社会，当时这样的社会谁比谁干净？能活下去就不错了，再说日本人对自己人民都当炮灰，就别说什么713部队，还有把台湾原住民当作动物一样来圈养	Potentially
我昨天看到个上海人瞧不起外地人的问题 有个回答说是到成都来玩遇到两个上海人在说话 内容大概是说成都农村 然后评论清一色骂成都的 我都无语了 所有人都揪着成都人瞧不起四川其他地方的 成都自吹一线城市 我就？？？？	Potentially
我觉得中国这样是对的。美国式的政治正确有害无益。中国人的是非观很简单，做得好就得夸，做得不好就得批评，直到你改正为止。中国不也是被骂被歧视一步步走过来的？东亚不都是？非要像美国人一样，黑人都觉得自己没问题，	Potentially
我这往外延伸几点哈 1.种族歧视是一个世界级现象（本人会歧视黑人 ），不知道您是保持一个怎样的态度? 2.漂亮国想要实现的理想国不可能也不应该是这个时代的产物。 3.凡事有因必有果，有果必有因；不值得。	Potentially
所以你到底明不明白“歧视”这个词是什么意思？大部分黑色大哥不符合我们的审美，这有问题吗？但是如果你要说，黑人都不好看，我第一个表示反对。哈莉贝瑞知道吗？为数不多的让我很感兴趣的黑人女明星。欧美人如果表示：很多亚裔不好看。	Potentially
有些事呢，有理就是有理，不在于声高，我觉得你这位西北“汉人”还是琢磨琢磨为啥民族主义这种本来应该丢掉的东西呼声越来越高吧，舆论一直在打压都压不住，哪天上去个不打压的对你们来说会不会很可怕？	Potentially
本质是因为黑人在中国就类似于物种入侵，中国仍有大部分人无法获得性资源等等，但黑人就因为是黑人，这些信手沾来。努力搬砖也抵不过一个黑人的身份，你告诉我，这怎样才能做到不嫉妒？每个阵容都为自己那个阵容而争取利益，	Potentially
极端一点，清教徒白人至上主义里面，除了白人是人其他都不是人，何来歧视？你都不是人，没有“人籍”，你怎么会在底端。上面说黑人奴隶制时期，白人男性与女黑奴性关系比较普遍，我提供一个这样的视角，	Potentially
枪击案吸毒也得看什么情况吧 不能一味总结于人品不好 感觉你们都是白人区温室长大的孩子 在黑人区玩个枪打死个人吸毒贩毒很常见啊：）你潜台词就是要尊重农村和黑人的传统文化，校园暴力和吸毒的明星要大力追捧。真恶心农村人的这种逆向歧视?	Potentially
